"time","extractOutput1","raffinateOutput2","extractOutput2","raffinateOutput1"
1944,5.19273e-17,1.04621e-07,3.08794e-51,9.95158
1948.8,6.41171e-17,1.17906e-07,4.30784e-51,10.119
1953.6,7.90128e-17,1.3281e-07,5.99691e-51,10.2851
1958.4,9.71827e-17,1.49526e-07,8.33094e-51,10.4498
1963.2,1.19308e-16,1.6827e-07,1.155e-50,10.6133
1968,1.46204e-16,1.89284e-07,1.59814e-50,10.7756
1972.8,1.78847e-16,2.12839e-07,2.20706e-50,10.9367
1977.6,2.18402e-16,2.39241e-07,3.04227e-50,11.0968
1982.4,2.66257e-16,2.68831e-07,4.18591e-50,11.2559
1987.2,3.24069e-16,3.01996e-07,5.74921e-50,11.4142
1992,3.93806e-16,3.39169e-07,7.88265e-50,11.5718
1996.8,4.7781e-16,3.8084e-07,1.07895e-49,11.7288
2001.6,5.78859e-16,4.27557e-07,1.47438e-49,11.8854
2006.4,7.0025e-16,4.79945e-07,2.01148e-49,12.0416
2011.2,8.45887e-16,5.38704e-07,2.73993e-49,12.1976
2016,1.02039e-15,6.04628e-07,3.72642e-49,12.3536
2020.8,1.22922e-15,6.78614e-07,5.06047e-49,12.5097
2025.6,1.47884e-15,7.61678e-07,6.86198e-49,12.666
2030.4,1.77684e-15,8.54967e-07,9.29141e-49,12.8228
2035.2,2.13221e-15,9.59782e-07,1.25632e-48,12.9801
2040,2.55551e-15,1.0776e-06,1.69636e-48,13.138
2044.8,3.05917e-15,1.21008e-06,2.28743e-48,13.2967
2049.6,3.6578e-15,1.35912e-06,3.08034e-48,13.4563
2054.4,4.36856e-15,1.52687e-06,4.1427e-48,13.617
2059.2,5.21157e-15,1.71575e-06,5.56431e-48,13.7787
